node_id,lat,lon,type,frequency,ship_count
80,23.15768137047132,111.66677439523428,turn_point,446,199
81,23.10021272139761,111.97681952708083,turn_point,436,163
82,23.23778263928798,113.1753469455684,turn_point,433,147
83,22.97622382607332,113.52571403338308,turn_point,422,232
84,23.09011972580622,111.9862492417422,waypoint,420,165
85,23.152699047435853,113.21217770417708,turn_point,416,141
86,23.22723869656781,111.52809333365448,turn_point,415,125
87,23.046035016487814,113.23024770115256,turn_point,415,128
89,23.18520772730156,113.2104616206512,turn_point,389,138
90,23.11279262796612,112.2227329106911,waypoint,385,123
91,23.25740990530928,113.15691719332656,turn_point,381,144
92,23.122377113381173,112.56449525266258,waypoint,377,107
93,23.24276060358737,112.81576678348058,turn_point,372,155
94,23.41645432645016,111.20622591096075,turn_point,371,224
95,23.275733604112144,112.8542193392314,turn_point,365,160
96,23.0527744418886,113.31979889307704,turn_point,365,52
97,23.04674468850452,113.339787046488,turn_point,360,74
98,23.028178228253346,113.26282657073727,turn_point,357,119
99,23.082748424920595,113.54916368716825,turn_point,357,99
100,23.065245534344044,113.4878868266388,turn_point,357,131
101,23.01627519044488,113.0342009319437,turn_point,353,77
102,23.08812906262784,113.57063508461027,turn_point,350,117
103,23.16431183890337,112.28533348862484,turn_point,348,93
104,23.1117493207424,112.55679054831084,waypoint,347,88
105,23.10532550329215,113.60321863010572,turn_point,341,71
106,23.20631203117945,113.19683763060166,turn_point,341,102
107,22.99712124489453,113.51975145888076,waypoint,339,168
108,22.82028808013717,113.60024224639363,turn_point,337,212
109,23.15478166359504,112.88021469743404,turn_point,329,106
110,23.13608879717172,113.74502355594193,turn_point,326,130
111,23.17084358205342,112.74421040492729,turn_point,326,145
112,23.57592855640381,112.95284223194702,turn_point,325,141
113,22.832616678741243,113.30820689790522,turn_point,325,156
114,23.08324957401789,112.01875268120564,waypoint,319,99
115,23.11238192401808,112.94687471764064,turn_point,319,72
116,23.14865081830604,112.35641256648482,waypoint,315,114
120,23.68639811465373,113.07817397905156,waypoint,300,125
121,23.11220977335472,113.93127490373271,turn_point,299,109
122,23.96017017555079,113.27696652732976,turn_point,298,216
123,23.36284601812072,111.50369232283036,turn_point,297,174
124,23.3004739148032,113.16197982294528,turn_point,297,92
125,23.34929592835837,113.12673741590024,turn_point,294,156
126,23.16891657245553,112.71575553951736,waypoint,291,77
127,23.13861911262796,111.75440232884328,waypoint,290,130
128,23.098920749317173,113.40261980584783,turn_point,285,71
129,23.16872955569492,112.727245750384,waypoint,285,95
130,23.10345486266428,113.8707372457582,turn_point,283,170
131,23.155777129673943,112.78723919677932,turn_point,276,79
132,22.998264759408386,113.2516217362222,turn_point,271,134
134,23.07335145151006,112.52917891286492,waypoint,264,124
135,23.42740215642314,111.4958647304256,turn_point,263,159
136,23.0305223073137,113.51485405723622,turn_point,262,134
137,22.97766909482569,112.98181948437424,turn_point,260,190
138,23.745829507476305,113.19875590813044,turn_point,260,105
139,23.168424672207088,112.72031646184328,waypoint,257,55
141,23.02050497802718,113.5173068665329,turn_point,251,165
143,22.23390499723161,113.15538666488852,turn_point,244,209
144,23.080248283270496,112.15668487841135,waypoint,239,88
147,23.18975051257779,111.58274512170613,turn_point,227,72
148,22.36140696024545,113.95348158537894,turn_point,227,198
150,22.89769881223059,113.22287597895944,turn_point,226,161
152,22.97338051683257,113.50611199754908,turn_point,223,81
153,23.172781625986133,112.30369176256238,waypoint,222,106
154,23.682115170264304,112.98419759579576,turn_point,222,101
155,23.107706999004403,113.6358341844013,turn_point,220,43
157,22.95063761152335,113.49887870442176,turn_point,215,115
158,24.01276717440521,113.27727752055632,turn_point,214,138
159,22.88129245844413,113.12060750278904,turn_point,212,145
160,23.31150512706502,113.1498234301356,turn_point,212,66
161,23.23830134260617,111.54280646867336,turn_point,211,82
162,23.135666201942964,111.7612275697681,waypoint,209,103
163,22.152038038502603,113.80423211348791,turn_point,208,164
164,23.0737409489127,113.25432403754262,turn_point,208,54
165,23.058301526873827,113.4976323676196,turn_point,204,77
166,23.11082131566643,112.40108342072718,turn_point,201,98
168,23.120233718461524,112.24776604131029,waypoint,196,82
170,22.513274240083163,113.8526624200951,turn_point,191,155
171,23.426184487738823,111.15416579181095,turn_point,190,139
172,22.80600306695169,113.33983274142066,turn_point,187,134
173,23.19174407962516,111.57824295656226,turn_point,186,83
174,22.95804217795021,113.53771904492424,turn_point,186,129
175,23.108209741121293,113.36075233956797,turn_point,185,65
176,22.448664047259,113.18422836329113,turn_point,182,144
177,22.419148343780165,113.75476495090074,turn_point,181,174
180,23.11580991898809,111.97378032480424,turn_point,179,83
182,24.05612543106133,113.32007891750976,turn_point,176,114
183,22.81218061372187,113.0117675509126,waypoint,175,161
184,23.110109807440267,113.38614976430316,turn_point,175,51
185,23.109747575794728,112.21881962754684,turn_point,174,77
188,23.051699016451,113.50477652161416,waypoint,170,69
