from_node,to_node,sequence,lat,lon
2,42,25,23.06854135119294,112.39717611237684
2,42,26,23.06887615159158,112.396994574946
2,42,27,23.068961121224465,112.3968759596773
2,42,28,23.06882462184761,112.39685259834182
2,42,29,23.06870072546025,112.39654877918268
2,42,30,23.069024155161024,112.39650049940713
2,42,31,23.069128225376105,112.39659814309928
2,42,32,23.06811823323646,112.3965007944604
2,42,33,23.067938353477818,112.39633190190648
2,42,34,23.067862292943687,112.39624578250177
2,42,35,23.06776852227065,112.39620405582198
2,42,36,23.067617956764938,112.39632870267404
2,42,37,23.06767550529041,112.39643427192632
2,42,38,23.067584700834157,112.39652517065424
2,42,39,23.06779706178326,112.3964710424642
2,42,40,23.067905417909,112.396117465422
2,42,41,23.067792958240037,112.39602944255084
2,42,42,23.06767475704524,112.39604466357312
2,42,43,23.06756231208445,112.39610020751964
2,42,44,23.067681241696796,112.3959751450655
2,42,45,23.067726752179954,112.39587978646212
2,42,46,23.067824815291527,112.39585762165504
2,42,47,23.067703961420825,112.39567466881358
2,42,48,23.0675862509573,112.3957755275681
2,42,49,23.06751846746741,112.3956699016341
2,42,50,23.067346764986706,112.39582073172124
2,42,51,23.06722709515936,112.39586589173972
2,42,52,23.067202425816625,112.39573572735806
2,42,53,23.06709932740321,112.39590978735548
2,42,54,23.06714605078193,112.39612113839196
2,42,55,23.06730058818065,112.39615154024452
2,42,56,23.067281651219197,112.39604938773456
2,42,57,23.067455522166888,112.39591238584752
2,42,58,23.067465294258604,112.3962721268678
2,42,59,23.06735122022267,112.39629517783447
2,42,60,23.067045000016577,112.3963185619326
2,42,61,23.066860402620563,112.39631906989598
2,42,62,23.066956716799197,112.396603265604
2,42,63,23.06777025462886,112.39687032982164
2,42,64,23.066207287317447,112.39799779340254
2,42,65,23.06462065131792,112.39737927984103
2,42,66,23.0700997232812,112.39738050509575
2,16,0,23.04966332630564,112.45391258948248
2,16,1,23.055079090395846,112.44232918697428
2,16,2,23.065049693853343,112.42909430175644
2,16,3,23.06144387440121,112.41715765463373
2,16,4,23.06180280579726,112.41459907821428
2,16,5,23.05607973990471,112.4060453092916
2,16,6,23.055709279313064,112.4062941748978
2,16,7,23.07162803356747,112.40953536591137
3,370,0,23.019192911254905,113.18178603934628
3,370,1,23.01854731363373,113.18136061903252
3,370,2,23.01867455230584,113.18114900448616
3,370,3,23.018393730100705,113.1818415166464
3,370,4,23.0179759614738,113.18173872025102
3,370,5,23.01769255413856,113.1815803858166
3,370,6,23.018299425820587,113.18243032018404
3,370,7,23.01712251307896,113.18370123125976
