node_id,lat,lon,type,frequency,ship_count,type_distribution,detailed_type
6469,23.093159301675026,111.98557504510768,waypoint,2,2,{'waypoint': 2},waypoint
6470,23.093207965203305,112.1022795837107,waypoint,2,2,{'waypoint': 2},waypoint
6471,23.093314613029072,112.39517230019791,waypoint,2,2,{'waypoint': 2},turn_point
6472,23.093321886555916,112.53873633208202,waypoint,2,2,{'waypoint': 2},waypoint
6473,23.0932651852442,113.40763870935304,waypoint,2,1,{'waypoint': 2},turn_point
6474,23.09308977537036,113.44071053078287,waypoint,2,2,{'waypoint': 2},turn_point
6475,23.093180074649517,113.63024495901439,waypoint,2,2,{'waypoint': 2},turn_point
6476,23.09349312274641,113.6813958237445,waypoint,2,1,"{'waypoint': 1, 'stop_point': 1}",bifurcation_point
6477,23.093690703850086,112.09831193008675,waypoint,2,2,{'waypoint': 2},waypoint
6478,23.093731559574195,112.2012694146942,waypoint,2,2,{'waypoint': 2},waypoint
6479,23.093823831329168,112.39416341225207,waypoint,2,2,{'waypoint': 2},turn_point
6480,23.093617240615508,112.39511330432563,waypoint,2,2,{'waypoint': 2},turn_point
6481,23.093827314494384,112.5388469953316,waypoint,2,2,{'waypoint': 2},waypoint
6482,23.09355297168407,112.95879094733635,stop_point,2,2,{'stop_point': 2},turn_point
6483,23.093693598350995,113.44883710252029,waypoint,2,1,"{'waypoint': 1, 'stop_point': 1}",bifurcation_point
6484,23.093810211733462,113.5863946075842,waypoint,2,2,{'waypoint': 2},turn_point
6485,23.09424685078919,112.20605480463271,waypoint,2,2,{'waypoint': 2},waypoint
6486,23.094259108563875,112.394726043372,waypoint,2,2,{'waypoint': 2},turn_point
6487,23.094103187916858,112.53845552570704,waypoint,2,2,{'waypoint': 2},merge_point
6488,23.094231627944474,112.53965880090706,waypoint,2,2,{'waypoint': 2},waypoint
6489,23.094309816486717,112.54020738587911,waypoint,2,2,{'waypoint': 2},waypoint
6490,23.09416208258937,112.95869396498452,waypoint,2,2,{'waypoint': 2},turn_point
6491,23.094334902346915,112.9593245429167,waypoint,2,2,{'waypoint': 2},turn_point
6492,23.094261608256815,112.96025098502358,waypoint,2,2,{'waypoint': 2},turn_point
6493,23.09424301745318,113.40595859982483,waypoint,2,1,{'waypoint': 2},turn_point
6494,23.094191864332196,113.44683153932121,turn_point,2,1,"{'turn_point': 1, 'stop_point': 1}",turn_point
6495,23.094226621993606,113.58776461300067,waypoint,2,2,"{'waypoint': 1, 'stop_point': 1}",turn_point
6496,23.09489395815434,111.97938868666708,waypoint,2,2,{'waypoint': 2},waypoint
6497,23.09492720837349,112.20622152208719,waypoint,2,2,{'waypoint': 2},waypoint
6498,23.09471030667192,112.39474921912225,waypoint,2,2,{'waypoint': 2},turn_point
6499,23.094775363344556,112.3950804713883,waypoint,2,2,{'waypoint': 2},turn_point
6500,23.094563664350847,112.39566959189231,waypoint,2,2,{'waypoint': 2},turn_point
6501,23.094781929318117,112.53783501163805,waypoint,2,2,{'waypoint': 2},turn_point
6502,23.094771467706853,112.53941532998465,waypoint,2,2,{'waypoint': 2},turn_point
6503,23.094623439476617,112.54026589077732,waypoint,2,2,{'waypoint': 2},waypoint
6504,23.09507976533899,112.54075559367486,waypoint,2,1,{'waypoint': 2},waypoint
6505,23.094928967536937,112.95885931649386,waypoint,2,2,{'waypoint': 2},turn_point
6506,23.094944479645,113.42542999300758,turn_point,2,1,{'turn_point': 2},merge_point
6507,23.09511618768738,111.97991644615331,waypoint,2,1,{'waypoint': 2},waypoint
6508,23.09514629850773,111.98244645168657,waypoint,2,2,{'waypoint': 2},waypoint
6509,23.095349059463615,112.206607582683,waypoint,2,2,{'waypoint': 2},waypoint
6510,23.095079987475255,112.53769680775598,waypoint,2,2,{'waypoint': 2},waypoint
6511,23.095307436774654,112.53978731378683,waypoint,2,2,{'waypoint': 2},turn_point
6512,23.09514889783643,113.4076503018801,stop_point,2,2,{'stop_point': 2},turn_point
6513,23.09533864020964,113.58917690708833,waypoint,2,2,{'waypoint': 2},turn_point
6514,23.09580628751231,111.9820786149121,waypoint,2,1,{'waypoint': 2},waypoint
6515,23.095706883866974,112.39478906975178,waypoint,2,2,{'waypoint': 2},turn_point
6516,23.095598870320103,112.53899003934222,waypoint,2,1,{'waypoint': 2},merge_point
6517,23.09588744264379,112.5403467336358,waypoint,2,2,{'waypoint': 2},turn_point
6518,23.095923019759383,112.95874268290297,waypoint,2,2,"{'waypoint': 1, 'stop_point': 1}",turn_point
6519,23.095841591234922,112.95929345718899,waypoint,2,2,{'waypoint': 2},turn_point
6520,23.09585910786062,113.40760957474792,turn_point,2,2,{'turn_point': 2},turn_point
6521,23.09611633551797,111.97836749628506,waypoint,2,2,{'waypoint': 2},waypoint
6522,23.096147399925734,111.97883274046559,waypoint,2,2,{'waypoint': 2},waypoint
6523,23.096178181743763,111.97967900604831,waypoint,2,2,{'waypoint': 2},turn_point
6524,23.09635600155858,111.98132737941306,waypoint,2,2,{'waypoint': 2},waypoint
6525,23.096242022771342,111.98172841344635,waypoint,2,2,{'waypoint': 2},waypoint
6526,23.09631855194718,112.2076933906928,waypoint,2,2,{'waypoint': 2},waypoint
6527,23.096074152818765,112.5379513011116,waypoint,2,2,{'waypoint': 2},waypoint
6528,23.09616987635936,112.80115900009469,waypoint,2,1,"{'waypoint': 1, 'stop_point': 1}",merge_point
6529,23.096336018815663,113.24319764322422,waypoint,2,2,{'waypoint': 2},turn_point
6530,23.096137178352503,113.59121005286582,waypoint,2,2,{'waypoint': 2},turn_point
6531,23.09665117936766,112.39432974685795,waypoint,2,2,{'waypoint': 2},waypoint
6532,23.096717306043175,112.9563942875632,turn_point,2,2,"{'turn_point': 1, 'stop_point': 1}",turn_point
6533,23.09719207166941,112.20821115575626,waypoint,2,2,{'waypoint': 2},waypoint
6534,23.09716641174061,112.95601915389022,waypoint,2,1,"{'waypoint': 1, 'stop_point': 1}",turn_point
6535,23.097387286315758,112.95705711740277,waypoint,2,2,{'waypoint': 2},turn_point
6536,23.097227084557115,113.59167326247555,waypoint,2,2,"{'waypoint': 1, 'stop_point': 1}",turn_point
6537,23.097288380410433,113.59209674618819,waypoint,2,2,{'waypoint': 2},turn_point
6538,23.0977400642141,112.95764322421101,waypoint,2,2,{'waypoint': 2},turn_point
6539,23.097892417830757,113.63169779248821,waypoint,2,2,{'waypoint': 2},turn_point
6540,23.098279661958358,111.9778772550938,waypoint,2,2,{'waypoint': 2},turn_point
6541,23.09821356066754,112.20814455276488,waypoint,2,2,{'waypoint': 2},turn_point
6542,23.09823595645191,112.20872870167128,waypoint,2,2,{'waypoint': 2},waypoint
6543,23.098199073708326,112.2092768489365,waypoint,2,2,{'waypoint': 2},waypoint
6544,23.098114194282743,112.39618143022427,waypoint,2,2,{'waypoint': 2},turn_point
6545,23.09832849372077,112.95728680765606,waypoint,2,2,{'waypoint': 2},turn_point
6546,23.09812888798261,112.95777440719733,waypoint,2,2,{'waypoint': 2},turn_point
6547,23.09863939331727,112.20855851106867,waypoint,2,2,{'waypoint': 2},waypoint
6548,23.09886431870656,112.95472117472266,waypoint,2,1,"{'waypoint': 1, 'stop_point': 1}",turn_point
6549,23.098714655590246,112.95661282854437,waypoint,2,2,{'waypoint': 2},turn_point
6550,23.098568983618826,113.24227857558833,waypoint,2,2,{'waypoint': 2},turn_point
6551,23.098594095336296,113.5941457922032,waypoint,2,2,{'waypoint': 2},turn_point
6552,23.098717912877365,113.63236798988808,waypoint,2,2,{'waypoint': 2},turn_point
6553,23.09935001743417,111.97720346626866,waypoint,2,2,{'waypoint': 2},turn_point
6554,23.099435377193398,112.95468469705042,turn_point,2,1,"{'turn_point': 1, 'stop_point': 1}",turn_point
6555,23.099273502659706,113.40076259808043,waypoint,2,1,{'waypoint': 2},turn_point
6556,23.100551787469183,111.97623623128479,waypoint,2,1,{'waypoint': 2},turn_point
6557,23.100352019860864,111.97770800335731,waypoint,2,2,{'waypoint': 2},turn_point
6558,23.100348833395174,113.24047384382543,waypoint,2,1,{'waypoint': 2},turn_point
6559,23.100070356468596,113.39979706176192,waypoint,2,1,{'waypoint': 2},turn_point
6560,23.100133102759447,113.63327972891126,waypoint,2,2,{'waypoint': 2},turn_point
6561,23.10054739724341,112.95473515552048,waypoint,2,2,{'waypoint': 2},turn_point
6562,23.100766508087837,112.95576730252806,waypoint,2,2,{'waypoint': 2},turn_point
6563,23.100707501556926,113.41928746396582,turn_point,2,1,"{'turn_point': 1, 'stop_point': 1}",turn_point
6564,23.100739956164695,113.5961398686074,waypoint,2,2,"{'waypoint': 1, 'turn_point': 1}",merge_point
6565,23.101321241998573,113.41932522367821,turn_point,2,1,{'turn_point': 2},turn_point
6566,23.101845693273706,111.97573725438704,waypoint,2,2,{'waypoint': 2},turn_point
6567,23.10179076092578,111.97635041058749,waypoint,2,2,{'waypoint': 2},turn_point
6568,23.101723632547404,111.97814051399091,waypoint,2,2,{'waypoint': 2},merge_point
6569,23.10199128202527,112.21028454003257,waypoint,2,1,{'waypoint': 2},waypoint
